Questions,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer,vicuna7b Answer,vicuna13b Answer,vicuna33b Answer,llama7b Answer,llama13b Answer,claude2 Answer,claude-instant Answer,gpt-3.5 Answer,Difficulty,Subject
"This question refers to the following information.
""Some men look at constitutions with sanctimonious reverence, and deem them like the ark of the covenant, too sacred to be touched. They ascribe to the men of the preceding age a wisdom more than human, and suppose what they did to be beyond amendment….But I know also, that laws and institutions must go hand in hand with the progress of the human mind. As that becomes more developed, more enlightened, as new discoveries are made, new truths disclosed, and manners and opinions change with the change of circumstances, institutions must advance also, and keep pace with the times.""
Thomas Jefferson, 1816
Which of the following statements is most accurate regarding the existence of political parties in the early United States?","After the drafting of the Constitution, continued debates about states' rights and competing economic interests led to the formation of political parties, such as the Federalists and the Democratic-Republicans.","Although Washington warned against the influence of political parties, he reluctantly accepted the endorsement of the Federalist party.","Political parties did not exist until the War of 1812, when Federalists asserted control over foreign policies with France and Britain.",Two major political parties dominated early presidential elections until John Quincy Adams founded the Whig party in 1824.,B,A,A,A,A,A,A,A,A,6,high_school_us_history
"This question refers to the following information.
The invaders had brought in wheat and other Eurasian and African grains; peach, pear, orange, and lemon trees; chick-peas, grape vines, melons, onions, radishes, and much more. A Spanish nobleman come to America could require his Indians to furnish his table with the fruits of his ancestors.
—Alfred Crosby, historian, 1972
The comment quoted above resulted from which of the following processes?",The Green Revolution,The Columbian Exchange,The triangular trade,The Middle Passage,B,B,B,B,C,B,B,B,B,0,high_school_world_history
"This question refers to the following information.
But the decline of Rome was the natural and inevitable effect of immoderate greatness. Prosperity ripened the principle of decay; the causes of destruction multiplied with the extent of conquest; and, as soon as time or accident had removed the artificial supports, the stupendous fabric yielded to the pressure of its own weight. . . . The victorious legions, who, in distant wars, acquired the vices of strangers and mercenaries, first oppressed the freedom of the republic, and afterwards violated the majesty of the purple. The emperors, anxious for their personal safety and the public peace, were reduced to the base expedient of corrupting the discipline which rendered them alike formidable to their sovereign and to the enemy; the vigour of the military . . . was relaxed . . . ; and the Roman world was overwhelmed by a deluge of Barbarians.
—Adapted from Decline and Fall of the Roman Empire, by Edward Gibbon
Most classical empires shared which of the following traits?",They required the cultural assimilation of conquered peoples to limit diversity within the empire.,They provided state support of foreign religions to improve support of the government.,They embarked on widespread public works projects to integrate their empires.,They had government bureaucracies based on the merit principle.,C,A,A,A,A,A,A,A,Format Error,6,high_school_world_history
"This question refers to the following information.
""And then Shapur, King of Kings, passed away. Then his son Hormizd, King of Kings, rose over the empire. And Hormizd, King of Kings, conferred on me cap and belt and created for me a higher rank and dignity, and at court and in kingdom after kingdom, place after place, throughout the whole empire he gave me more authority and power in matters of the divine services, and created for me the title ""Kerdir, Ahura Mazda's [Chief Priest]"" after the name of Ahura Mazda, the Deity. And thereupon in kingdom after kingdom, place after place, many divine services were performed in magnificence, and many Warham fires were established, and many magi became happy and prosperous, and many fires and magi were imperially installed…
And then Hormizd, King of Kings, passed away. Then Bahram, King of Kings, son of Shapur, King of Kings, and brother of Hormizd, King of Kings, rose over the empire. And Bahram, King of Kings, also held me in high honor and dignity and at court and in kingdom after kingdom, place after place, gave me authority and power for divine services of every sort. And thereupon in kingdom after kingdom, place after place, many divine services were performed in magnificence and many Warharan fires were established, and many magi became happy and prosperous, and many fires and magi were imperially installed…
And in kingdom after kingdom and place after place throughout the whole empire the services of Ahura Mazda and the gods became preeminent, and great dignity came to the Mazdayanian religion and the magi in the empire, and the gods and water and fire and small cattle in the empire attained great satisfaction, while Ahriman [the evil counterpart to Ahura Mazda] and the demons were punished and rebuked, and the teachings of Ahriman and the demons departed from the empire and were abandoned. And Jews, Buddhists, Hindus, Nasoreans [Orthodox Christians], Christians, Maktak [Baptists], and Manichaeans in the empire were smitten, and destruction of idols and scattering of the stores of the demons and god-seats and nests was abandoned.""
Excerpt from the inscription of Kerdir at Naqsh-e-Rustam, Persia, late third century C.E.
Which of the following best explains the presence of Buddhist communities within Sassanid Persia?",Persian efforts to convert people away from Buddhism inspired further followers.,Buddhism's apocalyptic message swayed converts in Persia.,Persia's location sat astride international trade routes with India.,Buddhists were granted limited toleration by Zoroastrians.,A,B,C,C,C,C,C,C,C,6,high_school_world_history
Which of the following statements is TRUE concerning older workers' job performance?,Older workers always perform better because of their vast experience,"Older workers never perform better than younger workers because with age, a worker's skills decline.",Job performance for older workers depends both upon the decline of skills and the benefits of experience,Most jobs are performed better by younger adults but a few are performed better by older adults,C,C,C,C,B,C,C,C,C,0,human_aging
Even a small amount of sleep deprivation seems to,Increase weight,Improve sleep quality,Disrupt attention the next day,Increase irritability,B,C,C,C,A,C,C,C,C,6,human_aging
Which of the following is most strongly associated with loss of bone density?,Genetic factors,Lifestyle factors like not exercising,Hormonal factors such as loss of estrogen,Cohort factors,B,C,C,C,D,C,C,C,C,6,human_aging
The Old Testament presents the view that sexuality is,fundamentally positive,to be considered in light of its social consequences,comparable to other biological functions,a and b,D,D,D,D,A,A,D,D,D,0,human_sexuality
Which of the following is/are likely to cause coital pain for BOTH men and women?,infections,foreskin too tight,vaginismus,both A and C,A,D,D,D,A,D,D,D,D,6,human_sexuality
"In the scientific community, women's capacity for multiple orgasms was originally discovered by:",Kinsey,Freud,Masters and Johnson,Kaplan,A,C,C,C,C,C,Format Error,C,C,6,human_sexuality
Can countries rely on their domestic law as an excuse to violate their obligations under international law?,Domestic law always prevails over international law,Only customary international law prevails over domestic law,Obligations under international law prevail over domestic law,Constitutional obligations always prevail over obligations under international law,C,C,C,C,C,C,C,C,C,0,international_law
Is the recognition of foreign judgments subject to the same rules as those applicable to the incorporation and transformation of treaties?,Foreign judgments are enforced on the basis of the doctrine of incorporation,Foreign judgments are enforced on the basis of the doctrine of transformation,The recognition of foreign judgments is dependent on the existence of appropriate bilateral or multilateral treaties,The courts exercise discretion as to the enforcement of foreign judgments on the basis of the rule of comity,C,D,D,D,C,D,D,D,D,6,international_law
What is the meaning of collective rights?,Collective rights belong to distinct groups of people,Collective rights are those that belong to particular groups as opposed to the individual members of the group,Minority rights are collective rights,Collective rights entail a right of the group as such as well as individual rights of the group's members,B,D,D,A,D,D,D,D,D,6,international_law
The judicial branch of the United States government has the power to ________ the law.,interpret,make,enforce,override,A,A,A,A,A,A,A,A,A,0,jurisprudence
The focus of liberal feminists on equality is denounced by radical feminists as mistaken because:,It treats women as objects.,It makes women into men.,It reduces feminism to a political movement.,It overlooks the historical struggle of women for justice.,B,C,A,C,B,A,C,A,D,6,jurisprudence
Which proposition below is the most consistent with what Rawls claims the POP would opt for in respect of 'social primary goods'?,The POP will choose wealth over a compassionate society.,The POP will choose equality over power.,The POP will be unselfish.,The POP will choose to protect the disabled.,A,B,B,C,B,B,C,B,B,6,jurisprudence
Which of the following best describes the fallacy of special pleading?,"Reasoning that ideas presented in an appealing manner are correct, regardless of the content of the message.","Using language and punctuation in a way that a statement can have multiple interpretations, so it's not really clear what is meant.",Confusing figurative language with literal language.,Referring to an act committed by an opponent in negative terms while referring to the same act committed by the arguer or supporters in favorable terms,D,D,D,D,D,D,D,D,D,0,logical_fallacies
Appeal to beliefs is another name for which of the following fallacies?,ad nauseam,appeal to tradition,solid slope,self evident truths,D,A,B,B,D,B,Format Error,B,B,6,logical_fallacies
"So, how long have you been beating your wife?",Attacking the Person (ad hominem),False Dilemma,Prejudicial Language,Appeal to Force,C,A,A,A,A,A,Format Error,Format Error,Format Error,6,logical_fallacies
Which of the following best describes what discriminative approaches try to model? (w are the parameters in the model),"p(y|x, w)","p(y, x)","p(w|x, w)",None of the above,A,A,A,A,A,A,A,A,A,0,machine_learning
Statement 1| Highway networks were introduced after ResNets and eschew max pooling in favor of convolutions. Statement 2| DenseNets usually cost more memory than ResNets.,"True, True","False, False","True, False","False, True",D,C,B,A,C,C,C,C,C,6,machine_learning
"Statement 1| The BLEU metric uses precision, while the ROGUE metric uses recall. Statement 2| Hidden markov models were frequently used to model English sentences.","True, True","False, False","True, False","False, True",A,B,B,C,C,C,D,C,C,6,machine_learning
What is the term used in Ansoff's matrix for increasing market share with existing products in existing markets?,Product development,Market penetration,Diversification,Market development,B,B,B,B,A,B,B,B,B,0,management
Enhancement of job satisfaction and productivity are key characteristics of which theoretical perspective of work design?,Process improvement,Techno-structural change model,Job characteristics model,Socio-technical systems,D,C,C,C,C,C,C,C,C,6,management
Which of these does not form part of the key streams identified by March (1988) in decision making in highly ambiguous environments?,Expectations,Choice opportunities,Problems,Solutions,A,C,D,D,A,D,C,C,D,6,management
Robert is a marketer for a global consumer products company. He is working on the promotional campaign designed to reach a target audience in a new international market. Robert is working hard to make sure that the promotional campaign is clearly understood by the nation's consumers and doesn't offend anyone. By which of the factors in the external environment is he being influenced,Socio-cultural environment.,Competitive environment.,Economic environment.,Legal environment.,A,A,A,A,A,A,A,A,A,0,marketing
 Which of the following is not an issue that marketers need to consider when using digital resources for marketing activities?,Jurisdiction.,Disclosure.,Ownership.,Permissions.,B,C,C,C,A,A,C,Format Error,C,6,marketing
"This branding policy requires that all the products use the organization's name, either entirely or in part, e.g. Microsoft, Heinz, and Kellogg's",Individual branding.,Family branding.,Corporate brands.,Manufacturer brand.,B,C,C,C,A,C,C,C,C,6,marketing
A high blood ammonia level occurs in:,galactosaemia.,Hurler's syndrome.,ornithine transcarbamylase (OTC) deficiency.,phenylketonuria.,C,C,C,C,C,C,C,C,C,0,medical_genetics
Severe anaemia at birth is a feature of what?,Alpha-thalassaemia,Beta-thalassaemia,Hereditary persistence of fetal haemoglobin,Sickle cell disease,A,B,D,B,B,D,D,B,B,6,medical_genetics
Which of the following diagnostic techniques is of no value for the diagnosis of neural tube defects?,Amniocentesis,Chorion villus sampling (CVS),Maternal serum screening,Ultrasonography,B,D,D,C,D,D,C,Format Error,Format Error,6,medical_genetics
If a business files under Chapter 11 what is it doing?,declaring bankruptcy,selling stock,buying a smaller,company suing the government,A,A,A,A,A,A,A,A,A,0,miscellaneous
Which of these is not one of Aesop's fables?,The Dog and the Squirrel',The Hare and the Tortoise',The Eagle and the Beetle',The Ox and the Frogs',A,D,D,D,B,D,C,C,C,6,miscellaneous
Which of these sentences is written in the subjunctive?,I am not your man,I wish I were your man,Wherefore art your man?,Your man is where?,D,B,B,B,B,B,B,B,B,6,miscellaneous
 Lex talionis is another name for,proportional retributivism.,the death penalty.,an eye for an eye.,the morality of restraint.,C,C,C,C,B,C,C,C,C,0,moral_disputes
" According to Altman, justifications of speech codes that take account of which of the following kinds of harm have the best prospects for success?",causal harm,expressive harm,both causal and expressive harm,auxiliary harm,D,C,C,C,B,C,C,C,C,6,moral_disputes
" According to Lee and George, ova/sperm are not human beings because",they cannot reproduce.,they do not have a human genetic profile.,they are genetically and functionally identifiable as parts of the male or female potential parents.,all of the above,C,D,D,D,C,D,D,D,D,6,moral_disputes
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I started a debate at the neighbors house. Scenario 2 | I pawned my husband's prized guitar to pay for my lip injections.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",C,B,C,C,B,A,C,C,C,1,moral_scenarios
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I decided to swim in the river upstream of a lot of farmland. Scenario 2 | I bound her arms and legs and lashed her with a whip, consensually.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",D,B,A,A,B,B,C,C,C,6,moral_scenarios
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I called into work because I didn't want to work. Scenario 2 | I called the cops on the man who hit no one","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",A,B,B,D,B,B,C,C,B,6,moral_scenarios
"Which statement about dietary fibre is most correct?
","The end products of it fermentation is mainly malic, succinic and propionic acids","Fermentation studies in vitro, with human faeces, have shown that soluble and insoluble forms are fermented completely within 24 hours","Fibre sources, such as hemicelluloses, pectins and inulin are rapidly fermented to short chain fatty acids, which have trophic effects on the colon",Stool bulking occurs mainly through the action of insoluble fibres such as cellulose,C,C,C,C,C,C,C,C,C,0,nutrition
"It is correct to state about the epidemiology of Anorexia Nervosa that:
",Females are three times more affected than males,It never happens in children or post menopausal women,Males from any socioeconomic background can be affected,Prevalence rates are 2% for female adolescents,C,A,A,A,D,A,A,A,A,6,nutrition
"In terms of price per calorie, which of the following foods is the cheapest and most nutritious?
",Apple,Slice of bread,Cheese burger,Broccoli,C,D,D,A,D,A,B,Format Error,Format Error,6,nutrition
"According to Epicurus, the wise man:",yearns for the end of life.,fears the cessation of life.,is unconcerned with death.,realizes that death is an illusion.,C,C,C,C,D,C,C,C,C,0,philosophy
Cicero claims that it is sometimes permissible to:,commit acts of injustice.,break one’s promises.,steal.,none of the above.,B,D,D,A,D,A,D,D,D,6,philosophy
"In the case of the debtors, the moral argument against imprisoning A relies on:",fear.,universalizability.,considerations of the consequences of doing so.,all of the above.,B,D,D,D,C,C,C,D,C,6,philosophy
The Nazca geoglyphs extend over miles and represent:,entrances to subterranean tombs of the elite.,vast architectural designs for cities and towns.,ceremonial pathways and effigies of spirits and gods.,landing strips for spaceships.,C,C,C,C,B,C,C,C,C,0,prehistory
Homo erectus was:,"a stable, long-lived species.","an unsuccessful, short-lived species.",the first hominid to make and use stone tools.,the first hominid to stand “erect” and walk upright.,A,D,D,D,B,C,C,C,D,6,prehistory
Which of the following is evidence of a complex society?,monumental works,burials with grave goods,leisure and a sedentary lifestyle,all of the above,A,D,D,D,D,D,D,D,D,6,prehistory
Which of the following documents is typically issued as part of the due-process activities of the Financial Accounting Standards Board (FASB) for amending the FASB Accounting Standards Codification?,A proposed statement of position.,A proposed accounting standards update.,A proposed accounting research bulletin.,A proposed staff accounting bulletin.,B,B,B,B,A,A,B,B,B,0,professional_accounting
"The standard deviations of Stocks A and B are respectively 6% and 18%. If their correlation is 0.2 and an equal weighted portfolio is formed, what is the standard deviation of such a portfolio?",10%,5%,3.40%,9.70%,A,C,C,C,C,C,C,C,Format Error,6,professional_accounting
"What is the price of a three-year bond (face value $100), paying 5% coupons, with a yield of 6%?",$100,$104.29,$96.71,$97.33,D,B,B,C,C,B,C,C,C,6,professional_accounting
"A small town police officer pulled over a driver for speeding. He believed that the driver was acting irritable and fidgety, but he had no articulable reason to think anything was wrong. He searched the car anyway and found two cartons of freshly canned peaches, which were owned by the driver's neighbor and reported stolen off of her porch 24 hours earlier. Authorities charged him with theft under the state criminal code. His motion to suppress the evidence because of an unlawful search was denied. On appeal, will the appellate court likely reverse the lower court decision denying the motion to suppress?","Yes, because the search was unconstitutional due to the officer having no reasonable suspicion that would justify searching the car.","Yes, because when a car is pulled over for speeding, the officer must always obtain a search warrant prior to making any search.","No, the stop and the search were within the normal bounds of propriety for a speeding stop.","No, because driver being fidgety is enough for a probable cause full search of the vehicle.",A,A,A,A,C,A,A,A,A,0,professional_law
"A man needed to have the oil changed on his car. On Friday, he decided to take his car to the local dealership to have the oil changed and asked his neighbor if she would give him a ride home from the dealership. The neighbor said, ""Why pay the high prices a dealership will charge you? I can change the oil in your car for you. If you will agree to pay me $50, I'll change the oil in your car over the weekend. "" The man readily agreed. On Sunday afternoon, the man noticed that his neighbor still had not started working on the car. He asked his neighbor if the car would be ready for him to drive to work Monday morning. The neighbor replied, ""I thought about it and realized $50 is too low a price for the work involved. I don't think I'm going to change the oil in your car. "" The man then said, ""Look, I realize $50 is low for the work involved. If you can change the oil in my car by tomorrow morning, I'll pay you an additional $25. And I won't sue you in small claims court for your failure to perform your promise. "" The neighbor then changed the oil late Sunday afternoon, but the man refused to pay to the neighbor anything more than $50. In a suit by the neighbor to recover the additional $25 promised by the man, the neighbor will","win, because she performed her part of the bargain.","win, because the second contract for $75 superseded the original $50 contract.","lose, because the $75 contract did not supersede the $50 contract.","lose, because the neighbor had a pre-existing duty to change the oil in the car for $50.",D,B,A,C,A,A,B,B,C,6,professional_law
"On May 10, 1955, a rancher, owner of a 300-acre cattle ranch in Texas, conveyed a 20-acre strip across the property as follows:""To the railroad, its successors and assigns, to have and to hold so long as the same shall be used for railroad purposes. ""In 1972, the rancher made the followingconveyance:""To my daughter and her husband and their heirs, as much of the 300-acre cattle ranch as is not described in my deed to the railroad dated May, 10, 1955. ""The following year, the rancher, a widower, died intestate, survived by the daughter and a son. In 2000, the railroad decided to discontinue operating its trains over the strip conveyed in 1955. By 2004, the growth of a nearby town had made the 300-acre cattle ranch valuable as a potential site for homes or for an industrial park. However, as of January 1, 2005, the governing body of the county (in which the ranch sits) took appropriate action, in accordance with Texas statutes, to zone the 300-acre cattle ranch as single-family residential property with a minimum lot size of one acre. The ordinance provided that the exclusion of ranching operations and industrial development was necessary to protect the health of county residents by limiting the extent of waste disposal and preventing pollution of air and the nearby river, the county's major water supply. The state's power authority has now taken appropriate action to condemn half of the 300-acre cattle ranch, which will be flooded as a result of construction of a dam for a proposed hydroelectric facility. The 150 acres taken includes the 20-acre strip described in the deed to the railroad. Is the railroad entitled to any compensation from the state's power authority?","Yes, because if all the leased land is condemned for the full balance of the lease term, the lessee is entitled to compensation for the taking of the leasehold estate.","Yes, because the holder of an easement benefit is entitled to compensation for the value lost.","No, because by discontinuing its operation of trains, the railroad's determinable, feeterminated.","No, because the holder of an easement is not entitled to compensation when the servient tenement is extinguished by condemnation.",C,B,B,A,D,A,D,D,B,6,professional_law
"A 36-year-old female advertising executive is referred to the office for evaluation of a fasting serum total cholesterol concentration of 249 mg/dL. She has a family history of early coronary artery disease (CAD) and her father died suddenly at age 46 years of myocardial infarction. She tells you that she has never had chest pain. She is not currently sexually active and has no children. She claims that her high-stress lifestyle makes it impossible for her to eat regular meals or to follow a special diet, and she usually eats fast food. She exercises two or three times a week for about 20 minutes on a treadmill. She has smoked one pack of cigarettes daily for the past 20 years. Her only medication is acetaminophen for tension headaches. She is 165 cm (5 ft 5 in) tall and weighs 76 kg (167 lb); BMI is 28 kg/m2 . Vital signs today are normal. Physical examination discloses no abnormalities except for mild obesity. Institution of which of the following is the most essential step in the prevention of CAD in this patient?",Biofeedback-based stress reduction program,More rigorous and consistent exercise program,Smoking cessation program,Strict low-calorie diet,C,C,C,C,C,C,C,C,C,0,professional_medicine
"A male neonate, who was born at 36 weeks' gestation 2 hours ago in the labor and delivery unit of the hospital, now shows signs of respiratory difficulty. The mother, an 18-year-old primigravid woman, smoked one pack of cigarettes daily throughout her pregnancy. She received prenatal care during most of the pregnancy. One episode of chlamydial cervicitis was detected during the last trimester and treated with azithromycin. The neonate was born via cesarean delivery due to fetal heart rate decelerations. The amniotic fluid was stained with light particulate meconium. Apgar scores were 9 and 9 at 1 and 5 minutes, respectively. The patient is 50 cm (20 in; 50th percentile) long and weighs 3005 g (6 lb 10 oz; 50th percentile); head circumference is 35 cm (14 in; 50th percentile). The infant's vital signs now are temperature 36.6°C (97.8°F), pulse 150/min, and respirations 70/min. Pulse oximetry on room air shows an oxygen saturation of 95%. Physical examination discloses mild subcostal and intercostal retractions. Chest x-ray shows prominent pulmonary vascular markings and fluid in the intralobar fissures. Which of the following is the most likely diagnosis?",Group B streptococcal sepsis,Meconium aspiration syndrome,Respiratory distress syndrome,Transient tachypnea of newborn,D,B,B,B,C,B,B,B,B,6,professional_medicine
Three weeks ago a 45-year-old man was admitted to the hospital because of frostbite of both feet. He was treated by rapid rewarming and protective care of the feet. All the toes on the right foot have turned black. He has become slightly febrile and progressively more confused during the past few days. Examination discloses cellulitis in the midfoot. Which of the following is the most appropriate treatment?,Amputation,Application of topical collagenase,Debridement of necrotic skin over the toes,Hyperbaric oxygen,A,D,D,C,D,D,C,C,D,6,professional_medicine
"According to empirical research, which of the following is the best psychological treatment for obsessive—compulsive and agoraphobic disorders",Cognitive restructuring,Systematic desensitization,Cue-controlled relaxation training,In vivo exposure and response prevention,D,D,D,D,D,D,D,D,D,0,professional_psychology
"As a child, Fara’s responsibilities were to help her mother in the kitchen while her brother and father mowed the lawn. She was expected to do the housework like her mother while her brother did yard work like their father. What part of Feminist Therapy addresses these issues?",Self In Relation,Feminist Object Relations,Empowerment Therapy,Household Responsibilities,B,D,D,C,D,D,C,D,C,6,professional_psychology
The mental retardation associated with PKU is preventable with:,removal of environmental toxins.,blood transfusions.,a special diet.,antibiotics.,A,C,C,C,C,C,C,C,C,6,professional_psychology
"According to Russian philosopher Mikhail Bakhtin, in order to create ________, or a well-informed public, all communication about an issue must be ________, or take the form of a dialogue.","intelligentsia, democratic","democracy, dialogic","democracy, logical","democracy, bipartisan",B,B,B,B,B,B,B,B,B,0,public_relations
Which communication model describes the encoding and decoding of messages?,Shannon and Weaver model,Osgood and Schramm model,Westley and MacLean model,Maletzke model,B,A,A,A,A,A,A,A,A,6,public_relations
Which of the following information about publications does the Audit Bureau of Circulation NOT provide?,Circulation,Distribution,Traffic,Readership,D,A,B,C,D,D,C,C,C,6,public_relations
Which of the statements below is not one of the eight themes of post-Marxist critical security theory identified by Ken Booth as being important to critical security theory?,All knowledge is a social process.,The test of theory is emancipation.,Human society is a constant and unchanging phenomenon.,Human society is its own invention.,C,C,C,C,D,C,C,C,C,0,security_studies
Which of the following are frequently cited criticisms of HM?,"HM pays insufficient attention to the role of the labourer, instead focusing on the capitalist as the source of power and most important actor. HM can also allude to capitalist power structures, to the detriment of supporting the human security of workers.","HM too often accuses capitalism of acting solely in self-serving ways, and explains everything in terms of class struggle, to the detriment of wider analysis. Some versions of HM claim to have uncovered objective laws of history which are widely disputed in their accuracy.","HM is inevitably reductionist and oversimplifies the complexities of capitalism, recognising only its negative aspects and harmful effects.",All of these options.,B,D,D,D,A,D,D,D,D,6,security_studies
What are the practical problems associated with applying coercive diplomacy in the West?,Different natures of the adversaries complicate the use of Western coercion. Their tendency to rely on irregular or asymmetric military strategies makes it hard to threaten or even defeat their opponent's military strategy. Those actors deny forces the ability to win quickly with little cost.,"Increased verification capabilities brought in with the technological and communication revolution have resulted in a practical difficulty for practitioners, enabling the verification of tactical/temporary and strategic/lasting - only the latter of which constituting a compliance success. The capacity to verify processes have highlighted instances of non-compliance following inconclusive coercive diplomacy exchanges.","Coalitional coercive diplomacy is the only credible means for Western democracies to gain the sincerity required to make a threat of force real in the mind of the adversary. However, past efforts of coalitional building have proved to be extremely limited. Disagreements over the means and coordination of the policy often result in splits and consequently states are reluctant to employ it. Where it has been employed it collapses under the weight of its own inadequacy.",All of these options.,A,D,D,D,A,D,D,D,D,6,security_studies
The term 'feminist standpoint' suggests:,taking a stand on the issues neglected by feminism,studying society from the perspective of women,the recognition of difference and diversity in women's lives,a tendency to ignore the gendered nature of knowledge,B,B,B,B,B,B,B,B,B,0,sociology
Which of the following was not part of Weber's ideal type of bureaucracy?,impersonal rules,extensive paperwork,hierarchy of officials,Salaries,B,D,D,D,D,D,D,D,D,6,sociology
"After slavery was abolished in the USA and British Empire, policy makers claimed that former slaves migrating to these cities would experience:",assimilation,adaptation,discrimination,compensation,A,B,C,B,C,C,C,C,C,6,sociology
What has been an effective way of disbursing US foreign aid to encourage change in target states?,"Conditional programs, such as the Millennium Challenge, that require change before receipt of aid",the use of intergovernmental organizations to monitor aid disbursement,withdrawal of aid for bad policies,"None of the above, international aid never works",A,A,A,A,D,A,A,A,A,0,us_foreign_policy
What is direct diplomacy?,Members of Congress negotiating directly with foreign governments,Face-to-face meetings between state leaders,The president consulting Congress on foreign policy issues,Bilateral talks that do not involve a third-party negotiator,A,D,B,D,D,B,B,B,D,6,us_foreign_policy
What was unique about the NATO intervention in Kosovo?,It was the first time the US became involved in the Balkans,It was the first time NATO used military force,It was the first war won by airpower alone,It was the first war to employ 'smart weapons',C,A,A,B,D,A,Format Error,B,D,6,us_foreign_policy
What does the reproductive number of a virus tell us?,How virulent the infection will be,How many people will die,How many contacts will be infected from one case,How long the 'incubation period' will be,C,C,C,C,C,C,C,C,C,0,virology
How are herpes infections controlled?,Chemotherapy,Vaccines,Hygiene and social distancing,No method,A,B,B,B,B,C,C,C,B,6,virology
How can the morphology of filoviruses be described?,Very large ball like structure,Long filamentous threads,Icosahedral virion,Floppy membranes without defined morphology,C,D,B,B,D,C,B,B,B,6,virology
 During what Japanese festival do the spirits of deceased family members return to receive ritual offerings of food made by their loved ones?,Obon,Mikoshi,Omizutori,Tanabata,A,A,A,A,A,A,A,A,A,0,world_religions
 Which leader is known for spreading the dharma of non-violence?,Ngo Dinh Diem,The Dalai Lama,Siddhartha,Ashoka,D,B,B,B,B,C,B,B,B,6,world_religions
 Naturalists who concentrated on natural elements and processes are associated with which of the following?,Daoism,Yin-Yang School,Mengzi,Humanistic Buddhism,B,D,A,A,D,A,A,Format Error,A,6,world_religions
